imagen,clase,x,y,ancho,alto
cuadrados_1.png,rojo,262,102,97,97
cuadrados_1.png,rojo,82,92,117,117
cuadrados_1.png,verde,692,82,107,107
cuadrados_1.png,azul,472,92,137,137
cuadrados_1.png,amarillo,122,322,127,127
cuadrados_1.png,morado,352,312,117,117
cuadrados_2.png,rojo,202,342,127,127
cuadrados_2.png,verde,642,92,137,137
cuadrados_2.png,azul,302,122,97,97
cuadrados_2.png,azul,452,112,97,97
cuadrados_2.png,amarillo,522,332,117,117
cuadrados_2.png,naranja,72,82,147,147
cuadrados_3.png,rojo,142,342,117,117
cuadrados_3.png,verde,622,122,107,107
cuadrados_3.png,verde,762,112,87,87
cuadrados_3.png,azul,322,322,137,137
cuadrados_3.png,naranja,422,92,117,117
cuadrados_3.png,morado,92,112,97,97
cuadrados_3.png,morado,232,102,132,132
cuadrados_4.png,rojo,122,302,137,137
cuadrados_4.png,azul,552,92,147,147
cuadrados_4.png,amarillo,362,82,107,107
cuadrados_4.png,amarillo,222,82,107,107
cuadrados_4.png,amarillo,82,82,107,107
cuadrados_4.png,naranja,332,322,112,112
cuadrados_4.png,morado,522,322,107,107
